"filename", "language", "YAML", "Markdown", "Dart", "Kotlinscript", "Properties", "Swift", "Gradle", "XML", "C++", "Project.pbxproj", "JSON", "Batch", "Kotlin", "comment", "blank", "total"
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\Check internet.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 59
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\MyImages.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\NoInternet.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 80
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\firebase_options.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 71
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\language\MyControler.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 41
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\language\text.dart", "Dart", 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 463
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\main.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 51
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\models\admin_model.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\models\group_model.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\models\question_model.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\models\static_value.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\models\user_model.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\providers\question_provider.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 40
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\shared_pref\shared_pref.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 45
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\local.properties", "Properties", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\pubspec.yaml", "YAML", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 26, 140
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\settings.gradle.kts", "Kotlinscript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 16
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 73, 20, 7675, 30, 18, 19, 83, 251, 1, 570, 81, 41, 22, 743, 644, 10271
